fileName,className,classNumber,fold
maleta1.m4a,suitcase,0,5
maleta2.m4a,suitcase,0,5
maleta3.m4a,suitcase,0,5
maleta4.m4a,suitcase,0,5
maleta5.m4a,suitcase,0,5
maleta6.m4a,suitcase,0,5
maleta7.m4a,suitcase,0,5
maleta8.m4a,suitcase,0,5
maleta9.m4a,suitcase,0,5
maleta10.m4a,suitcase,0,5
maleta11.m4a,suitcase,0,5
maleta12.m4a,suitcase,0,5
maleta13.m4a,suitcase,0,5
maleta14.m4a,suitcase,0,5
maleta15.m4a,suitcase,0,5
maleta16.m4a,suitcase,0,5
maleta17.m4a,suitcase,0,5
maleta18.m4a,suitcase,0,5
maleta19.m4a,suitcase,0,5
maleta20.m4a,suitcase,0,5
alarma1.m4a,alarm,1,5
alarma2.m4a,alarm,1,5
alarma3.m4a,alarm,1,5
alarma4.m4a,alarm,1,5
alarma5.m4a,alarm,1,5
alarma6.m4a,alarm,1,5
alarma7.m4a,alarm,1,5
alarma8.m4a,alarm,1,5
alarma9.m4a,alarm,1,5
alarma10.m4a,alarm,1,5
alarma11.m4a,alarm,1,5
alarma12.m4a,alarm,1,5
alarma13.m4a,alarm,1,5
alarma14.m4a,alarm,1,5
alarma15.m4a,alarm,1,5
alarma16.m4a,alarm,1,5
alarma17.m4a,alarm,1,5
alarma18.m4a,alarm,1,5
alarma19.m4a,alarm,1,5
alarma20.m4a,alarm,1,5
golpe1.m4a,hit,2,5
golpe2.m4a,hit,2,5
golpe3.m4a,hit,2,5
golpe4.m4a,hit,2,5
golpe5.m4a,hit,2,5
golpe6.m4a,hit,2,5
golpe7.m4a,hit,2,5
golpe8.m4a,hit,2,5
golpe9.m4a,hit,2,5
golpe10.m4a,hit,2,5
golpe11.m4a,hit,2,5
golpe12.m4a,hit,2,5
golpe13.m4a,hit,2,5
golpe14.m4a,hit,2,5
golpe15.m4a,hit,2,5
golpe16.m4a,hit,2,5
golpe17.m4a,hit,2,5
golpe18.m4a,hit,2,5
golpe19.m4a,hit,2,5
golpe20.m4a,hit,2,5
